_id,String,None
userInfo,UserInfo,None
doctorUserInfo,UserInfo,None
parentConsultationSheetId,String,None
couponNo,String,None
groupId,String,None
preFilledInfo,PreFilledInfo,None
source,String,None
inquiryType,String,None
state,int,None
endType,int,None
replyState,int,None
commentInfo,CommentInfo,None
userImpression,UserImpression,None
tags,List,None
symptomType,List,None
receptionTime,LocalDateTime,None
responseTime,LocalDateTime,None
endTime,LocalDateTime,None
appealInfo,AppealInfo,None
stage,String,None
followUpStatus,Boolean,None
diagnosisStatus,String,None
createTime,LocalDateTime,None
updateTime,LocalDateTime,None
delFlag,Boolean,None
